accession	id	ec	length	organism	primary_pfam	primary_pfam_name	all_pfams
A0A024B7W1	POLG_ZIKVF	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	3423	Zika virus (isolate ZIKV/Human/French Polynesia/10087PF/2013) (ZIKV)	PF07652	Flavivirus DEAD domain	PF20907;PF01003;PF07652;PF21659;PF02832;PF00869;PF01004;PF00948;PF01005;PF01002;PF01350;PF01349;PF00972;PF20483;PF01570;PF01728;PF00949
A0A061I403	FICD_CRIGR	2.7.7.108; 3.1.4.-	455	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	PF02661	Fic/DOC family	PF02661
A0A0A7HFE1	CAS10_STRTR	2.7.7.-; 3.1.-.-	758	Streptococcus thermophilus	PF01966	HD domain	PF22335;PF20824;PF18211;PF01966
A0A0B7P3V8	YP41B_YEAST	2.7.7.49; 2.7.7.7; 3.1.26.4; 3.4.23.-	1104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PF00665	Integrase core domain	PF22936;PF00665
A0A0H2Z7X0	TPBB_PSEAB	2.7.7.65	435	Pseudomonas aeruginosa (strain UCBPP-PA14)	PF00990	Diguanylate cyclase, GGDEF domain	PF17152;PF00990;PF00672
A0A142I5B9	POLG_ZIKVK	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	3423	Zika virus (isolate ZIKV/Human/Cambodia/FSS13025/2010) (ZIKV)	PF07652	Flavivirus DEAD domain	PF20907;PF01003;PF07652;PF21659;PF02832;PF00869;PF01004;PF00948;PF01005;PF01002;PF01350;PF01349;PF00972;PF20483;PF01570;PF01728;PF00949
A0A3Q2TTB3	PRIPO_CHICK	2.7.7.102; 2.7.7.7	574	Gallus gallus (Chicken)	PF03121	Herpesviridae UL52/UL70 DNA primase	PF03121
A0A7H0DN85	MCEL_MONPV	2.1.1.56; 2.7.7.50; 3.6.1.74	845	Monkeypox virus (MPXV)	PF03291	mRNA (guanine-N(7))-methyltransferase domain	PF21004;PF10640;PF03291;PF21005
A0AUJ5	POLG_BVY3	2.7.7.48; 3.4.21.-; 3.4.22.44; 3.4.22.45; 3.6.4.-	3491	Blackberry virus Y (isolate Blackberry plant/USA:Arkansas/C3ARK/2005) (BVY)	PF00680	Viral RNA-dependent RNA polymerase	PF00270;PF00271;PF00863;PF00851;PF01577;PF00767;PF08440;PF13608;PF00680
A0JNC1	CDS2_BOVIN	2.7.7.41	445	Bos taurus (Bovine)	PF01148	Cytidylyltransferase family	PF01148
A0JPF9	ISPD_DANRE	2.7.7.40	462	Danio rerio (Zebrafish) (Brachydanio rerio)	PF01128	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	PF01128;PF18706
A0MD28	RPOA_PRRSS	2.7.7.48; 3.4.19.12; 3.4.21.-; 3.4.22.-; 3.6.4.12; 3.6.4.13; 4.6.1.-	3838	Porcine reproductive and respiratory syndrome virus (isolate Pig/United States/SD 01-08/2001) (PRRSV)	PF00680	Viral RNA-dependent RNA polymerase	PF16749;PF14757;PF14758;PF05410;PF05411;PF05412;PF05579;PF22049;PF00680;PF01443;PF21905
A0R564	DISA_MYCS2	2.7.7.85	372	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	PF02457	DisA bacterial checkpoint controller nucleotide-binding	PF02457;PF10635
A1A4L8	MOCS3_BOVIN	2.7.7.80; 2.8.1.11	455	Bos taurus (Bovine)	PF00899	ThiF family	PF00581;PF00899
A1CAZ7	UBA4_ASPCL	2.7.7.80; 2.8.1.11	492	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)	PF00899	ThiF family	PF00581;PF00899
A1Z651	POL_XMRV6	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.26.4; 3.4.23.-	1733	Xenotropic MuLV-related virus (isolate VP62) (XMRV)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF01140;PF01141;PF02093;PF18697;PF00075;PF17919;PF00665;PF00077;PF00078;PF00098;PF16721
A1ZA55	CGLR1_DROME	2.7.7.-	378	Drosophila melanogaster (Fruit fly)	PF20266	Mab-21 protein HhH/H2TH-like domain	PF03281;PF20266
A2BDX3	MOCS3_MOUSE	2.7.7.80; 2.8.1.11	460	Mus musculus (Mouse)	PF00899	ThiF family	PF00581;PF00899
A2I7M2	POLG_FMDA1	2.7.7.48; 3.4.22.28; 3.4.22.46; 3.6.1.15	2329	Foot-and-mouth disease virus serotype Asia-1 (FMDV)	PF00680	Viral RNA-dependent RNA polymerase	PF05408;PF00548;PF00680;PF00073;PF00910
A2R3H4	UBA4_ASPNC	2.7.7.80; 2.8.1.11	482	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	PF00899	ThiF family	PF00581;PF00899
A2SZS3	L_RVFV	2.7.7.48; 3.1.-.-	2092	Rift valley fever virus (RVFV)	PF04196	Bunyavirus RNA dependent RNA polymerase	PF04196;PF12603;PF15518
A2T3S5	VP3_ROTSH	2.1.1.56; 2.7.7.50; 3.1.4.-	835	Rotavirus A (isolate RVA/Monkey/South Africa/SA11-H96/1958/G3P5B[2]) (RV-A) (Simian Agent 11 (isolate SI/South Africa/H96/58))	PF06929	Rotavirus VP3 protein	PF05213;PF06929
A3EWL3	REV1_ARATH	2.7.7.-	1105	Arabidopsis thaliana (Mouse-ear cress)	PF00817	impB/mucB/samB family	PF00533;PF00817;PF11799;PF21999
A3FMB2	POLG_HAVH2	2.7.7.48; 3.4.22.28; 3.6.1.15	2227	Human hepatitis A virus genotype IA (isolate H2) (HHAV) (Human hepatitis A virus (isolate Human/China/H2/1982))	PF00680	Viral RNA-dependent RNA polymerase	PF20758;PF12944;PF00680;PF00073;PF00910
A3RM23	L_RABVI	2.7.7.48; 2.7.7.88; 3.6.1.-	2127	Rabies virus (strain India) (RABV)	PF14318	Mononegavirales mRNA-capping region V	PF21080;PF14314;PF21081;PF14318;PF00946
A4D126	ISPD_HUMAN	2.7.7.40	451	Homo sapiens (Human)	PF01128	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	PF01128;PF18706
A4KZ49	POLG_TRMVU	2.7.7.48; 3.4.-.-; 3.4.22.44; 3.4.22.45; 3.6.4.-	3112	Triticum mosaic virus (isolate Triticum aestivum/United States/U06-123/2006) (TriMV)	PF00680	Viral RNA-dependent RNA polymerase	PF00270;PF00271;PF00863;PF00851;PF13611;PF00767;PF08440;PF00680
A4RPM5	UBA4_PYRO7	2.7.7.80; 2.8.1.11	490	Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Magnaporthe oryzae)	PF00899	ThiF family	PF00581;PF00899
A5GFZ6	MOCS3_PIG	2.7.7.80; 2.8.1.11	455	Sus scrofa (Pig)	PF00899	ThiF family	PF00581;PF00899
A5HC98	L_BUNLC	2.7.7.48; 3.1.-.-	2263	Bunyavirus La Crosse	PF04196	Bunyavirus RNA dependent RNA polymerase	PF04196;PF15518;PF21561
A5LGW7	POLG_HAVJ8	2.7.7.48; 3.4.22.28; 3.6.1.15	2228	Human hepatitis A virus genotype IIIB (isolate HAJ85-1) (HHAV) (Human hepatitis A virus (isolate Human/Japan/HAJ85-1/1985))	PF00680	Viral RNA-dependent RNA polymerase	PF20758;PF12944;PF00680;PF00073;PF00910
A5PJW8	RPB2_BOVIN	2.7.7.48; 2.7.7.6; 3.1.13.-	1174	Bos taurus (Bovine)	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF04566;PF04567;PF00562;PF04560
A6YQT5	RPOA_PRRSV	2.7.7.48; 3.4.19.12; 3.4.21.-; 3.4.22.-; 3.6.4.12; 3.6.4.13; 4.6.1.-	3931	Porcine reproductive and respiratory syndrome virus (PRRSV)	PF00680	Viral RNA-dependent RNA polymerase	PF16749;PF19215;PF14757;PF14756;PF05410;PF05411;PF05412;PF05579;PF22049;PF00680;PF01443;PF21905
A8DYP7	CGLR2_DROME	2.7.7.-; 2.7.7.86	459	Drosophila melanogaster (Fruit fly)	PF20266	Mab-21 protein HhH/H2TH-like domain	PF03281;PF20266
A8X181	FICD_CAEBR	2.7.7.108; 3.1.4.-	507	Caenorhabditis briggsae	PF02661	Fic/DOC family	PF02661
A9JTS5	STPAP_XENTR	2.7.7.19; 2.7.7.52	843	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600;PF03828;PF00076
B0JJ82	GLMU_MICAN	2.3.1.157; 2.7.7.23	450	Microcystis aeruginosa (strain NIES-843 / IAM M-2473)	PF12804	MobA-like NTP transferase domain	PF00132;PF12804
